Series,ADF_Statistic,ADF_p_value,ADF_Result,KPSS_Statistic,KPSS_p_value,KPSS_Result
NVDA,-22.00294551369676,0.0,Stationary,0.05234070704182788,0.1,Stationary
MSFT,-23.890546515016343,0.0,Stationary,0.05090713415892624,0.1,Stationary
PG,-18.108762942661496,0.0,Stationary,0.02023584429596801,0.1,Stationary
CAT,-66.41195704325885,0.0,Stationary,0.02846831525052038,0.1,Stationary
WMT,-16.697112689475567,0.0,Stationary,0.02760307552238915,0.1,Stationary
AMZN,-49.7176591452468,0.0,Stationary,0.0426609954136032,0.1,Stationary
EURUSD,-67.47716037698525,0.0,Stationary,0.050979294749622324,0.1,Stationary
GBPUSD,-14.907608457085093,2.439605902888926e-22,Stationary,0.04124793199466779,0.1,Stationary
GBPCNY,-15.300904216698923,1.6187209108294745e-22,Stationary,0.029049775085108188,0.1,Stationary
USDZAR,-18.511477607663505,0.0,Stationary,0.03111050020902078,0.1,Stationary
GBPZAR,-24.757759217687205,0.0,Stationary,0.03486452620641606,0.1,Stationary
EURZAR,-68.03009525054635,0.0,Stationary,0.02766029167888724,0.1,Stationary
