Series,Ljung_Box_Stat,Ljung_Box_p_value,ARCH_LM_Stat,ARCH_LM_p_value,Hill_Tail_Index,Excess_Kurtosis
NVDA,t,e,,,3.108446989126445,8.6491271180575
MSFT,t,e,,,2.7355134909290495,8.778053801490529
PG,t,e,,,2.4990053297067933,9.652895707346156
CAT,t,e,,,2.7786147635491747,5.2475977378023035
WMT,t,e,,,2.4801486331774054,12.29026199432764
AMZN,t,e,,,2.602260037435329,12.283804364952703
EURUSD,t,e,,,3.062261811532674,4.267522539101783
GBPUSD,t,e,,,3.0765327262773683,12.584486259576474
GBPCNY,t,e,,,3.0809056949998084,9.94506987954753
USDZAR,t,e,,,2.9756529080648617,4.1315369451199535
GBPZAR,t,e,,,3.2482035516599286,4.249526227469288
EURZAR,t,e,,,2.7431582435582667,4.297375070184497
