Series,Mean,Std,Skewness,Excess_Kurtosis,JB_Statistic,JB_p_value,Min,Max,Q25,Q75,Observations
NVDA,0.0013819639054661438,0.03157451951043685,-0.2872230005569733,8.6491271180575,14099.718567725531,0.0,-0.36710869108205985,0.260876137028662,-0.013718096992967714,0.017037315090826725,4515
MSFT,0.0006811516939738634,0.01776975346118087,-0.06992395015672952,8.778053801490529,14463.042468954885,0.0,-0.15945325141829197,0.17062572495210993,-0.007345991621498182,0.009439372742019963,4515
PG,0.00036657723780682006,0.011772248508238261,-0.12427115623180036,9.652895707346156,17497.18852208832,0.0,-0.09142867117952702,0.11340937376694599,-0.004816296002716366,0.005962995031350522,4515
CAT,0.0005240378141982057,0.020672924408471988,-0.24995058815130286,5.2475977378023035,5213.348662170135,0.0,-0.1568590022484414,0.13735016768295824,-0.009162782947116827,0.011033114652357083,4515
WMT,0.0004474873435458899,0.01311809831214793,-0.03795580071423282,12.29026199432764,28348.44615872098,0.0,-0.12076467001713427,0.11072306818585047,-0.005611800835309466,0.006663552977212315,4515
AMZN,0.0009733455995506254,0.02443488386203867,0.394762064162118,12.283804364952703,28434.76798276047,0.0,-0.2461815526970293,0.23862098411981955,-0.01022442323315716,0.012447798677930694,4515
EURUSD,-2.082257326030444e-05,0.005862733940594983,-0.09294777272698733,4.267522539101783,3422.869682760978,0.0,-0.04735441374332784,0.04037711263515042,-0.00303496989186682,0.003135088287092318,4515
GBPUSD,-6.689232136618642e-05,0.006368708397874842,-0.9663622363222752,12.584486259576474,30423.26945129494,0.0,-0.0832093690464065,0.04115342334174512,-0.0033583419521534714,0.003405774014082888,4515
GBPCNY,-9.680735572801903e-05,0.006174609681733312,-0.5476962137570065,9.94506987954753,18785.831174824423,0.0,-0.07666051681966103,0.04473026588847483,-0.003404015438090786,0.0032214251848609746,4515
USDZAR,0.00022284460605055854,0.010845279682527579,0.5553508252726512,4.1315369451199535,3433.9768958818872,0.0,-0.07402518801108902,0.10551774793631055,-0.00654296001018152,0.0064380948269530175,4515
GBPZAR,0.00015495247200140444,0.00989671063913453,0.6114799172683051,4.249526227469288,3668.7893828386527,0.0,-0.04787453249620206,0.09349385444877358,-0.005807628449298988,0.005706273810497582,4515
EURZAR,0.00020118398930640268,0.00965936532696099,0.7075205069649327,4.297375070184497,3840.792256408727,0.0,-0.04616933347990129,0.09584217065851158,-0.005653801442505733,0.005379990509703214,4515
